supermarket,prices_(£),prices_unit_(£),unit,names,date,category,own_brand
Morrisons,1.75,7.9,kg,Genius Gluten Free Crumpets,20240413,free-from,False
Morrisons,2.25,5.63,kg,Napolina Gluten Free Fusilli,20240413,free-from,False
Morrisons,1.8,18.0,kg,Morrisons Free From 5 Swirl…,20240413,free-from,True
Morrisons,2.3,2.3,l,Rude Health Organic Almond Drink,20240413,free-from,False
Morrisons,3.5,8.8,kg,Warburtons Gluten Free Arti…,20240413,free-from,False
Morrisons,1.5,1.5,l,Alpro Hazelnut Long Life Drink,20240413,free-from,False
Morrisons,1.35,0.68,unit,Genius Gluten Brioche Burger Buns,20240413,free-from,False
Morrisons,1.25,1.25,l,Blue Diamond Almonds Almo…,20240413,free-from,False
Morrisons,1.79,17.0,kg,Perkier Crunchy Peanut Protein Bars,20240413,free-from,False
Morrisons,1.7,10.6,kg,Nairn's Gluten Free Biscuit Breaks Chunky O…,20240413,free-from,False
Morrisons,1.7,1.7,l,Oatly Chilled Organic Oat Drink,20240413,free-from,False
Morrisons,3.0,8.4,kg,Nature's Path Gluten Free Mesa Sunrise Cereal,20240413,free-from,False
Morrisons,2.45,5.7,kg,Genius Gluten Free Triple Seeded Sandwich Loaf,20240413,free-from,False
Morrisons,1.7,10.6,kg,Nairn's Gluten Free Biscuit Breaks Chunky…,20240413,free-from,False
Morrisons,1.69,11.9,kg,Morrisons Free From Jammy Wheels,20240413,free-from,True
Morrisons,3.0,11.1,l,Magnum Vegan Classic Chocolate Ice Cream Sticks,20240413,free-from,False
Morrisons,1.69,9.4,kg,Morrisons Free From Cream Crunchies,20240413,free-from,True
Morrisons,1.69,9.4,kg,Morrisons Free From Cookies & Cream Cookies,20240413,free-from,True
Morrisons,2.45,5.7,kg,Genius Gluten Free White Sandwich Loaf,20240413,free-from,False
Morrisons,1.69,11.3,kg,Morrisons Free From Chocolate Orange Cookies,20240413,free-from,True
Morrisons,2.25,5.63,kg,Napolina Gluten Free Spaghetti,20240413,free-from,False
Morrisons,1.45,1.45,l,Koko Fresh Original Plus Calcium Milk Alternative,20240413,free-from,False
Morrisons,3.0,11.1,l,Magnum Vegan Almond Ice Cream Sticks,20240413,free-from,False
Morrisons,1.69,10.6,kg,Morrisons Free From Digestive Biscuits,20240413,free-from,True
Morrisons,1.79,17.0,kg,Perkier Cacao & Orange Protein Bars,20240413,free-from,False
Morrisons,2.5,8.9,l,Twister Peek-A-Blue,20240413,free-from,False
Morrisons,3.2,10.0,kg,Genius Gluten Free Denby Dale…,20240413,free-from,False
Morrisons,2.2,11.0,kg,Genius Gluten Free Sausage Rolls,20240413,free-from,False
Morrisons,1.45,1.4,l,Koko Dairy Free Unsweetened,20240413,free-from,False
Morrisons,1.4,9.3,kg,Schar Gluten Free Jaffa Cakes,20240413,free-from,False
Morrisons,1.5,1.5,l,Mighty Ultimate Barista Oat Mil…,20240413,free-from,False
Morrisons,2.5,8.9,l,Twister Zingerrr Ice Lollies,20240413,free-from,False
Morrisons,2.15,10.9,kg,Genius Gluten Free Pancakes,20240413,free-from,False
Morrisons,2.45,5.7,kg,Genius Gluten Free Toastie Sandwich Loaf,20240413,free-from,False
Morrisons,2.0,6.7,kg,Kirsty's Vegetable Lasagne,20240413,free-from,False
Morrisons,1.7,1.7,l,Oat-Ly Chocolate Oat Drink,20240413,free-from,False
Morrisons,1.5,1.5,l,Alpro Soya Light Long Life Drink,20240413,free-from,False
Morrisons,1.5,11.1,kg,Mister Freed Avocado Guacamol…,20240413,free-from,False
Morrisons,2.45,5.7,kg,Genius Gluten Free Brown Sandwich Loaf,20240413,free-from,False
Morrisons,1.5,12.0,kg,Schar Gluten Free Vanilla Wafers,20240413,free-from,False
Morrisons,1.69,9.4,kg,Morrisons Free From Ginger Snaps,20240413,free-from,True
Morrisons,2.0,4.2,l,Morrisons Free From Ice Cream Strawberry,20240413,free-from,True
Morrisons,1.7,12.4,kg,Nairn's Gluten Free Cracked…,20240413,free-from,False
Morrisons,1.7,12.4,kg,Nairn's Gluten Free Seeded Crackers,20240413,free-from,False
Morrisons,1.7,11.3,kg,Nairn's Gluten Free Flatbre…,20240413,free-from,False
Morrisons,2.35,2.4,kg,Warburtons Glutenfree Soft Sliced Seeded Rolls,20240413,free-from,False
Morrisons,2.25,3.0,l,Califia Farms Mocha Cold Brew Coffee With Almond,20240413,free-from,False
Morrisons,1.5,11.1,kg,Mister Freed Cheezie Cheese…,20240413,free-from,False
Morrisons,1.0,35.7,kg,Popworks Sweet & Salty Popped Crisps,20240413,free-from,False
Morrisons,2.3,2.3,l,Rude Health Long Life Organic C…,20240413,free-from,False
Morrisons,1.25,6.9,kg,Mrs Crimble's Gluten Free 6 Big Coconut Macaroons,20240413,free-from,False
Morrisons,2.0,4.2,l,Morrisons Free From Ice Cream Chocolate,20240413,free-from,True
Morrisons,2.0,12.1,kg,Zest Vegan Basil Pesto,20240413,free-from,False
Morrisons,2.0,12.2,kg,Zest Vegan Red Pesto,20240413,free-from,False
Morrisons,1.25,0.62,unit,Morrisons Free From Cherry Bakewells,20240413,free-from,True
Morrisons,0.9,25.0,kg,Deliciously Ella Almond Butte…,20240413,free-from,False
Morrisons,2.5,7.3,kg,Zest Tomato Mushroom & Smok…,20240413,free-from,False
Morrisons,4.65,3.53,l,Skinny Brands Lager (Abv 4%),20240413,free-from,False
Morrisons,0.9,25.0,kg,Deliciously Ella Double Chocolate Caramel Cups,20240413,free-from,False
Morrisons,2.5,7.3,kg,Zest Tomato & Fiery Chilli Sauce,20240413,free-from,False
Morrisons,4.0,20.0,kg,Whitby Seafoods Gluten Free Battered Calamari,20240413,free-from,False
Morrisons,2.5,8.3,kg,Schar Gluten Free Wholesome Seeded Loaf,20240413,free-from,False
Morrisons,2.5,8.3,kg,Schar Gluten Free Wholesome White Loaf,20240413,free-from,False
Morrisons,2.5,14.7,kg,White Rabbit Classic Tiramisu,20240413,free-from,False
Morrisons,2.35,7.8,kg,Morrisons Free From Margherita…,20240413,free-from,True
Morrisons,2.35,7.6,kg,Morrisons Free From Pepperoni P…,20240413,free-from,True
Morrisons,2.25,10.0,kg,Flora Plant Butter,20240413,free-from,False
Morrisons,2.65,0.44,unit,Genius Delicously Gluten Free Blueberry Pancakes,20240413,free-from,False
Morrisons,2.65,0.44,unit,Genius Delicously Gluten Free Chocolate Pancakes,20240413,free-from,False
Morrisons,2.2,4.9,kg,Morrisons Fruit And Seeds Gluten Free Muesli,20240413,free-from,True
Morrisons,3.0,30.0,kg,Galaxy Vegan Fruit & Nut,20240413,free-from,False
Morrisons,1.5,37.5,kg,Galaxy Vegan Salted Caramel,20240413,free-from,False
Morrisons,1.3,8.7,kg,Chippa Worcester Sauce,20240413,free-from,False
Morrisons,2.0,19.2,kg,Schar Gluten Free Chilled Milk Cake,20240413,free-from,False
Morrisons,1.5,33.0,kg,Buttermilk Plant Powered Dairy Free…,20240413,free-from,False
Morrisons,2.89,24.1,kg,Gluten Free Galaxy Cookies,20240413,free-from,False
Morrisons,2.7,9.0,kg,Freee Gluten Free Organic Chocolate Stars,20240413,free-from,False
Morrisons,2.89,24.1,kg,Gluten Free Twix Cookies,20240413,free-from,False
Morrisons,2.99,12.0,l,Kikkoman Gluten Free Teriyaki Marinade,20240413,free-from,False
Morrisons,1.95,1.95,l,Smug Dairy Milk,20240413,free-from,False
Morrisons,2.5,14.3,kg,Violife Original Grated,20240413,free-from,False
Morrisons,2.5,14.3,kg,Violife Original Sliced,20240413,free-from,False
Morrisons,2.25,2.25,l,Plenish Organic Almond Milk,20240413,free-from,False
Morrisons,1.75,2.33,l,Alpro This Is Not Milk Semi Skimmed,20240413,free-from,False
Morrisons,3.6,7.5,kg,Promise Multigrain Loaf,20240413,free-from,False
Morrisons,2.0,2.67,l,Alpro Plain Protein Drink Fresh,20240413,free-from,False
Morrisons,1.75,2.33,l,Alpro This Is Not Milk Whole Fresh,20240413,free-from,False
Morrisons,2.4,2.4,l,Plenish Organic Gluten Free Oat Barista Milk,20240413,free-from,False
Morrisons,3.6,7.5,kg,Promise Soft White Loaf,20240413,free-from,False
Morrisons,4.0,8.9,kg,Kirsty's Takeaway Ginger Chicken & Spring Onion,20240413,free-from,False
Morrisons,2.2,5.5,kg,Koko Plain Yogurt Alt,20240413,free-from,False
Morrisons,1.65,6.6,kg,Koko Raspberry Yogurt Alternative,20240413,free-from,False
Morrisons,1.35,1.35,l,Morrisons Lactose Free Semi Skimmed Milk,20240413,free-from,True
Morrisons,1.35,1.35,l,Arla LactoFREE Semi Skimmed Milk Drink,20240413,free-from,False
Morrisons,1.5,1.5,l,Alpro Almond No Sugars Chilled Drink,20240413,free-from,False
Morrisons,1.35,1.35,l,Arla LactoFREE Whole Milk Drink,20240413,free-from,False
Morrisons,1.35,1.35,l,Morrisons Lactose Free Skimmed Milk,20240413,free-from,True
Morrisons,2.1,5.3,kg,Alpro Greek Style Plain Yoghurt Alternative,20240413,free-from,False
Morrisons,2.5,12.5,kg,Arla LactoFREE Mature Cheddar Cheese,20240413,free-from,False
Morrisons,1.5,1.5,l,Alpro Soya Chilled Drink,20240413,free-from,False
Morrisons,1.35,1.35,l,Arla LactoFREE Skimmed Milk Drink,20240413,free-from,False
Morrisons,1.5,1.5,l,Alpro Soya No Sugars Chilled Drink,20240413,free-from,False
Morrisons,1.35,1.35,l,Morrisons Lactose Free Whole Milk,20240413,free-from,True
Morrisons,1.2,2.4,kg,Morrisons Free From Penne,20240413,free-from,True
Morrisons,3.5,3.5,kg,Flora Original Spread With Natural Ingredients,20240413,free-from,False
Morrisons,1.9,3.8,kg,Morrisons Free From Seeded Loaf,20240413,free-from,True
Morrisons,1.75,0.44,unit,Morrisons Free From White Rolls,20240413,free-from,True
Morrisons,3.5,3.5,kg,Flora Lighter Spread With Natural Ingredients,20240413,free-from,False
Morrisons,2.2,7.3,kg,Warburtons Gluten Free Multiseed Loaf,20240413,free-from,False
Morrisons,2.0,12.5,kg,Nain's Gluten Free Choc Chip Biscuits,20240413,free-from,False
Morrisons,1.5,1.5,l,Alpro Oat Chilled Drink,20240413,free-from,False
Morrisons,3.0,13.9,kg,Old El Paso Gluten Free Tortilla Wraps,20240413,free-from,False
Morrisons,2.9,0.72,unit,Warburtons Gluten Free Super…,20240413,free-from,False
Morrisons,2.0,2.0,l,Arla LactoFREE Long Life Semi Skimmed Milk Drink,20240413,free-from,False
Morrisons,2.1,2.1,l,Oatly The Original Oat Drink Whole,20240413,free-from,False
Morrisons,1.7,2.27,kg,Morrisons Free From Homestyle Chips,20240413,free-from,True
Morrisons,1.59,8.0,kg,Dr. Oetker Bicarbonate of Soda,20240413,free-from,False
Morrisons,1.49,13.2,kg,Eat Real Lentil Chips Sea Salt Flavour,20240413,free-from,False
Morrisons,2.1,4.2,kg,Alpro Plain with Coconut Yoghurt Alternative,20240413,free-from,False
Morrisons,2.1,2.1,l,Oatly The Original Oat Drink Semi,20240413,free-from,False
Morrisons,3.0,21.4,kg,Nakd Blueberry Muffin 4 Raw Fruit & Nut Bars,20240413,free-from,False
Morrisons,2.1,2.1,l,Califia Farms Oat Barista Chilled,20240413,free-from,False
Morrisons,2.0,4.0,kg,Alpro Velvet Vanilla Dessert,20240413,free-from,False
Morrisons,2.0,4.0,kg,Alpro Dark Chocolate Dessert,20240413,free-from,False
Morrisons,2.0,4.0,kg,Morrisons Free From White Loaf,20240413,free-from,True
Morrisons,3.0,21.4,kg,Nakd Cocoa Orange 4 Raw Fruit & Nut Bars,20240413,free-from,False
Morrisons,3.75,10.42,kg,Birds Eye Gluten Free 12 Fish Fingers,20240413,free-from,False
Morrisons,1.4,2.7,kg,Alpro Vanilla Custard,20240413,free-from,False
Morrisons,2.1,4.2,kg,Alpro Plain Yoghurt Alternative,20240413,free-from,False
Morrisons,1.0,2.4,kg,Kit Kat 4 Finger Vegan Chocolate Bar,20240413,free-from,False
Morrisons,1.9,6.7,l,Henderson's Relish,20240413,free-from,False
Morrisons,1.2,2.4,kg,Morrisons Free From Fusilli,20240413,free-from,True
Morrisons,2.4,12.0,kg,Cathedral City Lactose Free…,20240413,free-from,False
Morrisons,2.3,13.5,kg,Easibake Gluten Free Garlic Bread Bag…,20240413,free-from,False
Morrisons,1.4,5.6,l,Alpro Soya Chilled Altern…,20240413,free-from,False
Morrisons,3.75,18.8,kg,Whitby Seafoods Gluten Free Scampi,20240413,free-from,False
Morrisons,1.2,2.4,kg,Morrisons Free From Spaghetti,20240413,free-from,True
Morrisons,3.8,10.27,kg,Dr. Oetker Ristorante Glute…,20240413,free-from,False
Morrisons,0.5,20.0,kg,Morrisons Free From Choccy Buttons,20240413,free-from,True
Morrisons,2.85,8.1,kg,Nestle Go Free Honey Nut Flakes,20240413,free-from,False
Morrisons,2.2,7.3,kg,Warburtons Gluten Free White Loaf,20240413,free-from,False
Morrisons,1.2,44.4,kg,Deliciously Ella Chocolate Orange Dipped Almonds,20240413,free-from,False
Morrisons,2.0,17.7,kg,"Eat Real Veggie Straws Kale, Tomato & Spinach",20240413,free-from,False
Morrisons,0.6,30.0,kg,Moo Free White,20240413,free-from,False
Morrisons,1.5,10.0,kg,Schar Gluten Free Crispbreads,20240413,free-from,False
Morrisons,1.49,11.0,kg,Eat Real Hummus Chips Tomato & Basil Flavour,20240413,free-from,False
Morrisons,2.4,6.4,kg,Nestle Go Free Corn Flakes,20240413,free-from,False
Morrisons,1.85,4.9,kg,Whole Earth Organic Corn Flakes,20240413,free-from,False
Morrisons,1.5,12.0,kg,Schar Gluten Free Custard Creams,20240413,free-from,False
Morrisons,3.75,3.8,kg,Morrisons Free From Gluten Free Oats,20240413,free-from,True
Morrisons,1.9,3.8,kg,Morrisons Free From Brown Loaf,20240413,free-from,True
Morrisons,2.35,9.4,kg,Arla LactoFREE Slightly Salted Spreadable Bl…,20240413,free-from,False
Morrisons,2.85,8.1,kg,Nestle Go Free Rice Pops Gluten Free Cereal,20240413,free-from,False
Morrisons,1.2,4.8,kg,Morrisons Free From Potato Gnocchi,20240413,free-from,True
Morrisons,1.5,8.8,kg,Morrisons Free From Vegetable Gravy Granules,20240413,free-from,True
Morrisons,0.9,16.4,kg,Morrisons Free From Golden Syrup Porridge,20240413,free-from,True
Morrisons,3.25,10.8,kg,Schar Gluten-Free Pizza Base with Sourdough,20240413,free-from,False
Morrisons,2.75,13.75,kg,Violife Epic Mature Cheddar Flavour Block,20240413,free-from,False
Morrisons,3.85,15.4,kg,Birds Eye 2 Gluten Free Breaded Fish Fillets,20240413,free-from,False
Morrisons,2.15,4.3,kg,Pure Vegan Dairy Free Olive Spread,20240413,free-from,False
Morrisons,4.0,8.8,kg,Birds Eye 22 Gluten Free Chicken Nuggets,20240413,free-from,False
Morrisons,1.95,6.5,kg,Morrisons Free From Special Flakes,20240413,free-from,True
Morrisons,1.5,1.5,l,Alpro Almond Chilled Drink,20240413,free-from,False
Morrisons,2.0,8.0,l,Arla Lactofree Cream,20240413,free-from,False
Morrisons,2.1,13.1,kg,Genius Gluten Free Double Chocolate Muffins 2 Pack,20240413,free-from,False
Morrisons,2.35,8.39,kg,Jus-Rol Gluten Free Puff Pastry Ready Rolled Sheet,20240413,free-from,False
Morrisons,1.45,1.45,l,Morrisons Oat Milk,20240413,free-from,True
Morrisons,3.5,2.65,l,Free Damm 0% Lager,20240413,free-from,False
Morrisons,2.49,16.6,kg,Cathedral City Dairy Free Grated,20240413,free-from,False
Morrisons,1.5,8.8,kg,Morrisons Free From Meat Gravy Granules,20240413,free-from,True
Morrisons,2.0,12.5,kg,Nairn's Gluten Free Ginger Biscuit Breaks,20240413,free-from,False
Morrisons,2.75,13.8,kg,Violife Creamy Original Flavour Veg…,20240413,free-from,False
Morrisons,2.1,10.8,kg,Morrisons Free From Bakewell Tart,20240413,free-from,True
Morrisons,2.2,4.9,kg,Nairn's Gluten Free Scottish Porridge Oats,20240413,free-from,False
Morrisons,1.1,18.3,kg,Schar Gluten Free Pretzels,20240413,free-from,False
Morrisons,2.4,12.0,kg,Schar Gluten-Free White Ciabatta Rolls,20240413,free-from,False
Morrisons,1.95,1.95,kg,Doves Farm Gluten & Wheat Free…,20240413,free-from,False
Morrisons,3.0,12.0,l,Kikkoman Tamari Gluten Free Soy Sauce,20240413,free-from,False
Morrisons,4.0,12.6,kg,Goodfella's Gluten Free Pepperoni Pizza,20240413,free-from,False
Morrisons,1.85,9.3,l,Oatly! The Original Creamy Oat Fraiche,20240413,free-from,False
Morrisons,2.0,6.67,kg,Heck Meat Free Sausage,20240413,free-from,False
Morrisons,1.2,2.4,kg,Morrisons Free From Macaroni Pasta,20240413,free-from,True
Morrisons,2.9,0.72,unit,Warburtons Gluten Free Soft Cinn…,20240413,free-from,False
Morrisons,1.5,1.5,l,Alpro Soya Chocolate Chilled Drink,20240413,free-from,False
Morrisons,2.1,4.2,kg,Alpro Strawberry Yoghurt Alternative,20240413,free-from,False
Morrisons,2.75,0.69,unit,Bfree Pitta Breads Stone Baked Pittas,20240413,free-from,False
Morrisons,2.0,9.4,kg,Nairns Gluten Free Oat Cakes,20240413,free-from,False
Morrisons,1.5,1.5,l,Alpro Coconut Chilled Drink,20240413,free-from,False
Morrisons,2.4,12.0,kg,Schar Gluten-Free Brown Ciabatta Rolls,20240413,free-from,False
Morrisons,2.4,20.0,kg,Morrisons Free From Choc Chip Brownie,20240413,free-from,True
Morrisons,1.4,8.8,kg,Nairn's Gluten Free Syrupy & Crumbly Oaties,20240413,free-from,False
Morrisons,1.25,5.0,kg,Morrisons Free From Lasagne Sheets,20240413,free-from,True
Morrisons,1.5,0.38,unit,Mrs Crimble's Gluten Free 4 Big Bakewell Slices 200g,20240413,free-from,False
Morrisons,2.2,14.7,kg,Philadelphia Lactose Free Soft Cream Cheese,20240413,free-from,False
Morrisons,1.95,1.95,kg,Doves Farm Gluten Free Self-Raising White Flour,20240413,free-from,False
Morrisons,2.75,7.9,kg,Morrisons Free From Red Berry Granola,20240413,free-from,True
Morrisons,2.75,5.7,l,Morrisons Free From Straw…,20240413,free-from,True
Morrisons,1.59,2.3,kg,Dr Oekter Gluten Free Baking Powder Tub,20240413,free-from,False
Morrisons,2.35,15.7,kg,Morrisons The Best Free From Quad Choc Cookies,20240413,free-from,True
Morrisons,1.6,12.8,kg,Schar Gluten Free Rich Tea Biscuits,20240413,free-from,False
Morrisons,2.1,11.1,kg,Genius Gluten Free Blueberry Muffins,20240413,free-from,False
Morrisons,0.9,16.4,kg,Morrisons Free From Original Porridge,20240413,free-from,True
Morrisons,1.5,15.0,kg,Schar Gluten Free Spekulatius,20240413,free-from,False
Morrisons,2.0,4.0,kg,Alpro Smooth Chocolate Dessert,20240413,free-from,False
Morrisons,1.95,6.5,kg,Morrisons Free From Honey Hoops Cereal,20240413,free-from,True
Morrisons,2.15,14.3,kg,Morrisons Free From Fruity Granola Cereal Bars,20240413,free-from,True
Morrisons,2.75,7.9,kg,Morrisons Free From Honey Nut Granola,20240413,free-from,True
Morrisons,1.2,8.0,kg,Alpro Go On Mango Yogurt,20240413,free-from,False
Morrisons,2.2,11.0,l,Food Heaven Free-From Heavenly Whipped,20240413,free-from,False
Morrisons,1.5,10.3,kg,Morrisons Free From Bourbon Biscuits,20240413,free-from,True
Morrisons,2.25,11.3,kg,Morrisons Free From Mature Cheddar,20240413,free-from,True
Morrisons,2.4,10.7,kg,Schar Gluten-Free 3 Panini Rolls,20240413,free-from,False
Morrisons,2.3,0.57,unit,We Love Cake Rip Roaring Raspberry Ripple Slices,20240413,free-from,False
Morrisons,3.99,10.0,kg,Daim Chocolate Cake With Crunchy Caramel,20240413,free-from,False
Morrisons,3.0,30.0,kg,Galaxy Caramel Vegan Chocolate Dairy Free,20240413,free-from,False
Morrisons,1.45,1.4,l,Morrisons Sweetened Almond Milk,20240413,free-from,True
Morrisons,2.49,16.6,kg,Cathedral City Dairy Free Sliced,20240413,free-from,False
Morrisons,4.0,12.2,kg,Goodfella's Gluten Free Margherita Pizza,20240413,free-from,False
Morrisons,2.0,11.1,kg,Nairn's Gluten Free Cheese Oatcakes,20240413,free-from,False
Morrisons,2.65,13.25,kg,Morrisons Free From Grated Ch…,20240413,free-from,True
Morrisons,3.1,16.3,kg,Sacla Vegan Basil Pesto,20240413,free-from,False
Morrisons,3.59,12.82,kg,Cathedral City Dairy Free,20240413,free-from,False
Morrisons,1.0,26.3,kg,Nomo Caramel & Sea Salt Vegan…,20240413,free-from,False
Morrisons,2.75,24.8,kg,Perkier Salted Caramel & Dark…,20240413,free-from,False
Morrisons,2.09,18.0,kg,Morrisons Free From 4 Victoria Sponge Slices,20240413,free-from,True
Morrisons,2.75,24.8,kg,Perkier Madagascan Vanilla…,20240413,free-from,False
Morrisons,3.3,8.2,kg,Free From Gluten Fully Cooked Chicken Nuggets,20240413,free-from,False
Morrisons,2.05,2.05,l,Mighty Oat Based Semi Skimmed Not M…,20240413,free-from,False
Morrisons,1.95,6.5,kg,Morrisons Free From Corn Flakes,20240413,free-from,True
Morrisons,1.75,0.44,unit,Morrisons Free From Seeded Rolls,20240413,free-from,True
Morrisons,1.49,11.0,kg,Eat Real Hummus Chips Salt & Vinegar,20240413,free-from,False
Morrisons,2.75,5.7,l,Morrisons Free From 4 Chocolate…,20240413,free-from,True
Morrisons,2.7,15.9,kg,Schar Gluten Free Curvies Original Crisps,20240413,free-from,False
Morrisons,2.5,13.9,kg,The Real Yorkshire Pudding Company Gl…,20240413,free-from,False
Morrisons,2.35,15.7,kg,Morrisons Free From Flapjack,20240413,free-from,True
Morrisons,1.49,18.6,kg,Eat Real Quinoa Chips Sour…,20240413,free-from,False
Morrisons,2.05,2.05,l,Mighty Oat Based Whole Not Mi…,20240413,free-from,False
Morrisons,1.5,11.5,kg,Oddlygood Dreamy Lemon,20240413,free-from,False
Morrisons,2.5,8.3,kg,Morrisons Free From Beef Lasagne,20240413,free-from,True
Morrisons,2.25,2.25,l,Arla Lactofree Organic Semi Skimmed Milk,20240413,free-from,False
Morrisons,3.1,7.8,kg,Genius Gluten Free Sliced Spicy Fruit Loaf,20240413,free-from,False
Morrisons,1.0,40.0,kg,Milky Way Magic Stars Dairy Free Chocolate,20240413,free-from,False
Morrisons,2.6,17.3,kg,Schar Gluten Free Grissini,20240413,free-from,False
Morrisons,1.4,8.8,kg,Nairn's Gluten Free Choc Chip Oaties,20240413,free-from,False
Morrisons,1.6,10.7,kg,Schar Gluten Free Digestive Biscuits,20240413,free-from,False
Morrisons,1.9,1.9,l,Arla Jord Chilled Oat Drink,20240413,free-from,False
Morrisons,2.75,0.69,unit,BFree Wholegrain Pitta Bread,20240413,free-from,False
Morrisons,3.2,7.1,kg,Nairn's Gluten Free Oat Muesli,20240413,free-from,False
Morrisons,1.6,7.3,kg,Schar Gluten Free Crispbread,20240413,free-from,False
Morrisons,3.49,8.73,kg,Kirstys Cottage Pie With Sweet Potato Mash,20240413,free-from,False
Morrisons,2.85,11.2,kg,Morrisons Free From 6 Jam Tarts,20240413,free-from,True
Morrisons,2.1,2.1,l,Oatly The Original Oat Drink Skinny,20240413,free-from,False
Morrisons,2.45,16.3,kg,Lazy Day Tiffin,20240413,free-from,False
Morrisons,0.6,30.0,kg,Moo Free Original Bar,20240413,free-from,False
Morrisons,2.25,13.24,kg,Morrisons Free From Garlic & Herb Soft Cheese,20240413,free-from,True
Morrisons,1.2,4.8,kg,Morrisons The Best Free From…,20240413,free-from,True
Morrisons,1.3,2.6,l,Oatly Oat Drink Barista Edition,20240413,free-from,False
Morrisons,2.3,0.57,unit,We Love Cake Totally Toffee Sticky Toffee Slices,20240413,free-from,False
Morrisons,1.9,1.9,l,Arla Jord Chilled Oat & Hemp Drink,20240413,free-from,False
Morrisons,2.8,14.0,kg,Violife Smoky Cheddar Flavour Slices…,20240413,free-from,False
Morrisons,1.0,31.3,kg,Nomo Fruit & Crunch Bar,20240413,free-from,False
Morrisons,3.0,20.0,kg,Paxo Gluten Free Sage & Onion Stuffing Mix,20240413,free-from,False
Morrisons,2.7,15.9,kg,Schar Curvies BBQ,20240413,free-from,False
Morrisons,3.0,13.04,kg,Violife Greek White Block Veg…,20240413,free-from,False
Morrisons,1.3,8.7,kg,Good It's Gluten Free Golden Breadcrumbs,20240413,free-from,False
Morrisons,2.15,14.3,kg,Schar Gluten Free Chocolate Fingers,20240413,free-from,False
Morrisons,1.0,26.3,kg,Nomo Caramel Filled Chocolate Bar,20240413,free-from,False
Morrisons,1.2,34.3,kg,Moo Free Choccy Rocks Moofreesas,20240413,free-from,False
Morrisons,1.9,1.9,l,Arla Jord Chilled Oat & Vanilla Drink,20240413,free-from,False
Morrisons,3.25,1.63,unit,BFree Naan Breads Stone Baked Original,20240413,free-from,False
Morrisons,2.65,22.1,kg,Morrisons The Best Free From Chocolate Cake Bars,20240413,free-from,True
Morrisons,3.5,14.0,kg,Schar Gluten Free Mini Calzone…,20240413,free-from,False
Morrisons,2.5,25.0,kg,Schar Gluten Free Waffles 4 Pieces,20240413,free-from,False
Morrisons,1.05,35.0,kg,Schar Gluten Free Melto,20240413,free-from,False
Morrisons,1.4,12.0,kg,Aunt Bessie's Gluten Free Yorkshire Pudding Mix,20240413,free-from,False
Morrisons,3.1,16.3,kg,Sacla Vegan Tomato Pesto (Allergen Update),20240413,free-from,False
